kofn-allB	tr(xpub661MyMwAqRbcG3HSBUkoHo4Yx4qsya4Dg575r2Y8VQMWCjeYVUSY7xo4AGk5LRmjJjrdPXjhchzrFCMCmsPVXWhq9wjSNrLmoAUn4ucDnJT/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*,[b8688df1/48'/0'/2'/3']xpub6DXuQW1Q2Jpa1o2QCG7M1xRa5SbAkbF5B1jrKwiHRwYwkAHhdMd6U4QiH9icmuVV6XooTsaahooEqo2vPbq46TTXg3VW2sNKjtsj7tr9ZNs/<0;1>/*),and_v(v:pk([b8688df1/48'/0'/3'/3']xpub6DXuQW1Q2Jpa19cRZ68KkDjexvRyJVprCinYQLkoum63NLC2YC1EQvQHnNHRnM35aq3qViUAUCTS7Fu4AnuGRzfmeyZujx7KBqJdfsCyLtn/<0;1>/*),older(26280))})
kofn-allB+pr1746	tr(xpub661MyMwAqRbcGFyjdJRoDaghUMXt7dfxpZ9KDL92K2JSYJAd6TCbVAt1YzE2iU1Ju1yMBNU9mA5wqLREAfXaMag4TB6wxZhBxHaThjGi6vK/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*,[b8688df1/48'/0'/2'/3']xpub6DXuQW1Q2Jpa1o2QCG7M1xRa5SbAkbF5B1jrKwiHRwYwkAHhdMd6U4QiH9icmuVV6XooTsaahooEqo2vPbq46TTXg3VW2sNKjtsj7tr9ZNs/<0;1>/*),and_v(v:pk([b8688df1/48'/0'/3'/3']xpub6DXuQW1Q2Jpa19cRZ68KkDjexvRyJVprCinYQLkoum63NLC2YC1EQvQHnNHRnM35aq3qViUAUCTS7Fu4AnuGRzfmeyZujx7KBqJdfsCyLtn/<0;1>/*),older(26280))})
kofn-2B	tr(xpub661MyMwAqRbcH4r9NJRpM58ZuECKM5EWKwsUpX1J61nLK6CbcKypyj6BY3imb4kogKRUonyekDKGt1Uvr1C76c5EGza8Bqri7aVfx3qgEZL/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*,[73c5da0a/48'/0'/0'/3']xpub6DXuQW1Q2JpZyweiMewTZuMPvjG8hKhV2qoF6wL9VFxsMBExtbfqAAoR4oMG4GyxFzVdfas1v2eAdfLxyjc4Ceo5B6w6zTpf7F2BuXCJ52i/<0;1>/*),and_v(v:pk([3f635a63/48'/0'/0'/3']xpub6DXuQW1Q2Jpa1hNtFUcghdx7Q8kTDsqo7b54YAqZBNCH8EuSvmNSAKbAvkZ4HspgftJ1aqSMeFiZ4sr2QNEGm9geaEre3zDwiJD7C5gx5VH/<0;1>/*),older(26280))})
kofn-2B+pr1746	tr(xpub661MyMwAqRbcGVVX3ddUQx9zJBKP2Xej8QRRH2oRr8fDuv8PrA64x72gy5Qp7unruLw3haPCAEUpanxvSy47EQanYywhAs1DMBo6AwsGMqS/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*,[73c5da0a/48'/0'/0'/3']xpub6DXuQW1Q2JpZyweiMewTZuMPvjG8hKhV2qoF6wL9VFxsMBExtbfqAAoR4oMG4GyxFzVdfas1v2eAdfLxyjc4Ceo5B6w6zTpf7F2BuXCJ52i/<0;1>/*),and_v(v:pk([3f635a63/48'/0'/0'/3']xpub6DXuQW1Q2Jpa1hNtFUcghdx7Q8kTDsqo7b54YAqZBNCH8EuSvmNSAKbAvkZ4HspgftJ1aqSMeFiZ4sr2QNEGm9geaEre3zDwiJD7C5gx5VH/<0;1>/*),older(26280))})
tiered-2B	tr(xpub661MyMwAqRbcH4r9NJRpM58ZuECKM5EWKwsUpX1J61nLK6CbcKypyj6BY3imb4kogKRUonyekDKGt1Uvr1C76c5EGza8Bqri7aVfx3qgEZL/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*),and_v(v:multi_a(1,[73c5da0a/48'/0'/0'/3']xpub6DXuQW1Q2JpZyweiMewTZuMPvjG8hKhV2qoF6wL9VFxsMBExtbfqAAoR4oMG4GyxFzVdfas1v2eAdfLxyjc4Ceo5B6w6zTpf7F2BuXCJ52i/<0;1>/*,[3f635a63/48'/0'/0'/3']xpub6DXuQW1Q2Jpa1hNtFUcghdx7Q8kTDsqo7b54YAqZBNCH8EuSvmNSAKbAvkZ4HspgftJ1aqSMeFiZ4sr2QNEGm9geaEre3zDwiJD7C5gx5VH/<0;1>/*),older(26280))})
tiered-2B+pr1746	tr(xpub661MyMwAqRbcGVVX3ddUQx9zJBKP2Xej8QRRH2oRr8fDuv8PrA64x72gy5Qp7unruLw3haPCAEUpanxvSy47EQanYywhAs1DMBo6AwsGMqS/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*),and_v(v:multi_a(1,[73c5da0a/48'/0'/0'/3']xpub6DXuQW1Q2JpZyweiMewTZuMPvjG8hKhV2qoF6wL9VFxsMBExtbfqAAoR4oMG4GyxFzVdfas1v2eAdfLxyjc4Ceo5B6w6zTpf7F2BuXCJ52i/<0;1>/*,[3f635a63/48'/0'/0'/3']xpub6DXuQW1Q2Jpa1hNtFUcghdx7Q8kTDsqo7b54YAqZBNCH8EuSvmNSAKbAvkZ4HspgftJ1aqSMeFiZ4sr2QNEGm9geaEre3zDwiJD7C5gx5VH/<0;1>/*),older(26280))})
tiered-allB	tr(xpub661MyMwAqRbcG3HSBUkoHo4Yx4qsya4Dg575r2Y8VQMWCjeYVUSY7xo4AGk5LRmjJjrdPXjhchzrFCMCmsPVXWhq9wjSNrLmoAUn4ucDnJT/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*),and_v(v:multi_a(1,[b8688df1/48'/0'/2'/3']xpub6DXuQW1Q2Jpa1o2QCG7M1xRa5SbAkbF5B1jrKwiHRwYwkAHhdMd6U4QiH9icmuVV6XooTsaahooEqo2vPbq46TTXg3VW2sNKjtsj7tr9ZNs/<0;1>/*,[b8688df1/48'/0'/3'/3']xpub6DXuQW1Q2Jpa19cRZ68KkDjexvRyJVprCinYQLkoum63NLC2YC1EQvQHnNHRnM35aq3qViUAUCTS7Fu4AnuGRzfmeyZujx7KBqJdfsCyLtn/<0;1>/*),older(26280))})
tiered-allB+pr1746	tr(xpub661MyMwAqRbcGFyjdJRoDaghUMXt7dfxpZ9KDL92K2JSYJAd6TCbVAt1YzE2iU1Ju1yMBNU9mA5wqLREAfXaMag4TB6wxZhBxHaThjGi6vK/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*),and_v(v:multi_a(1,[b8688df1/48'/0'/2'/3']xpub6DXuQW1Q2Jpa1o2QCG7M1xRa5SbAkbF5B1jrKwiHRwYwkAHhdMd6U4QiH9icmuVV6XooTsaahooEqo2vPbq46TTXg3VW2sNKjtsj7tr9ZNs/<0;1>/*,[b8688df1/48'/0'/3'/3']xpub6DXuQW1Q2Jpa19cRZ68KkDjexvRyJVprCinYQLkoum63NLC2YC1EQvQHnNHRnM35aq3qViUAUCTS7Fu4AnuGRzfmeyZujx7KBqJdfsCyLtn/<0;1>/*),older(26280))})
kofn-3B-sorted	tr(xpub661MyMwAqRbcFsAUqaBYQngZmAGD4fHdCwGvTBDFUdLm5gykFvfeyph5HNiWSRvF1roZqAGnTtwF2ZLRUudiXqZDvdBAg29eNp4SZ3AsNmf/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*,[b8688df1/48'/0'/2'/3']xpub6DXuQW1Q2Jpa1o2QCG7M1xRa5SbAkbF5B1jrKwiHRwYwkAHhdMd6U4QiH9icmuVV6XooTsaahooEqo2vPbq46TTXg3VW2sNKjtsj7tr9ZNs/<0;1>/*),and_v(v:pk([73c5da0a/48'/0'/0'/3']xpub6DXuQW1Q2JpZyweiMewTZuMPvjG8hKhV2qoF6wL9VFxsMBExtbfqAAoR4oMG4GyxFzVdfas1v2eAdfLxyjc4Ceo5B6w6zTpf7F2BuXCJ52i/<0;1>/*),older(26280))})
kofn-3B-sorted+pr1746	tr(xpub661MyMwAqRbcFsAUqaBYQngZmAGD4fHdCwGvTBDFUdLm5gykFvfeyph5HNiWSRvF1roZqAGnTtwF2ZLRUudiXqZDvdBAg29eNp4SZ3AsNmf/<0;1>/*,{multi_a(2,[b8688df1/48'/0'/0'/3']xpub6DXuQW1Q2JpZzhem9yahH4CASHRvtGBvt4qzHi4Y1CziQ4pWbhKapCQNMND9csxg3rsoCxPtyXMQmvFhmwg3Kzhm6m6DQMbiFL1tnH4fhbA/<0;1>/*,[b8688df1/48'/0'/1'/3']xpub6DXuQW1Q2Jpa24MCYbGC2JWeaRjh5SxrpEDd8mG44CxoSVNa56XwxXREUmLQf5keJ654KrQpdoSNLvqMbyBGQvFye7GeYhaDaG5orPogipx/<0;1>/*,[b8688df1/48'/0'/2'/3']xpub6DXuQW1Q2Jpa1o2QCG7M1xRa5SbAkbF5B1jrKwiHRwYwkAHhdMd6U4QiH9icmuVV6XooTsaahooEqo2vPbq46TTXg3VW2sNKjtsj7tr9ZNs/<0;1>/*),and_v(v:pk([73c5da0a/48'/0'/0'/3']xpub6DXuQW1Q2JpZyweiMewTZuMPvjG8hKhV2qoF6wL9VFxsMBExtbfqAAoR4oMG4GyxFzVdfas1v2eAdfLxyjc4Ceo5B6w6zTpf7F2BuXCJ52i/<0;1>/*),older(26280))})
